2011 297  6 2432 51 52  60  37   6.7   6.6  12.3 288.4   2.0  -6.1   1.4  -4.9   3.9   0.2   1.0   0.6   0.4   0.7   48595.  11.5  330.  -1.9  -1.8 0.038    6624.   0.6    5.   0.3   0.4 0.004  2.41  -1.29   1.89   8.4  5.2 0.0171 17 130    -6   6 143.8  111   -37    74   0.5 0.007918 999999.99 99999.99 99999.99     1.89     0.13     0.07 -1
2011 297  7 2432 51 52  60  36   4.6   4.1   3.7 310.4   2.7  -3.2   0.3  -2.7   1.8   0.9   2.1   0.6   1.4   1.4   62417.  12.1  329.  -1.7  -1.9 0.059    5926.   0.8    2.   0.8   0.7 0.008  2.70  -0.59   4.54  12.4  5.6 0.0077 17 130    -2   6 143.8  135   -69    66   1.0 0.007918 999999.99 99999.99 99999.99     2.35     0.14     0.07 -1
2011 297  8 2432 51 52  60  36   6.4   6.2  18.8 295.8   2.6  -5.3   2.0  -3.6   4.3   0.6   1.6   0.8   0.8   1.2   56710.   9.9  330.  -2.0  -2.1 0.061    3016.   1.0    3.   0.3   0.5 0.005  2.24  -1.42   1.86   8.1  5.0 0.0181 17 130    -3   6 143.8  123   -42    81   1.1 0.007918 999999.99 99999.99 99999.99     2.67     0.14     0.06 -1
2011 297  9 2432 51 52  59  36   7.3   7.0  16.5 294.4   2.8  -6.1   2.0  -4.3   4.8   0.3   1.9   0.9   0.9   1.5   53499.   9.7  329.  -2.5  -2.5 0.063    6017.   0.6    3.   0.5   0.6 0.006  2.20  -1.58   1.38   7.0  4.7 0.0241  7 130    -3   3 143.8   80   -29    51   0.4 0.007918 999999.99 99999.99 99999.99     2.45     0.15     0.07 -1
2011 297 10 2432 51 52  59  36   6.9   6.5 -14.2 312.4   4.3  -4.7  -1.6  -4.9   1.0   0.5   2.1   1.1   1.5   1.0   57809.   9.4  323.  -1.1  -3.5 0.064    4639.   0.9    4.   0.8   0.7 0.006  2.06  -0.32   1.53   7.2  4.7 0.0231  7 130     1   3 143.8   53   -16    37   0.5 0.007918 999999.99 99999.99 99999.99     2.39     0.14     0.07 -1
2011 297 11 2432 51 52  61  37   7.4   7.2   9.6 308.2   4.4  -5.6   1.2  -4.2   3.9   0.5   1.7   0.9   0.4   1.3   57582.   9.1  323.  -2.2  -2.6 0.071    2970.   0.6    3.   0.5   0.6 0.006  2.04  -1.26   1.29   6.6  4.5 0.0274  7 130     4   3 143.8   66   -21    44   0.1 0.007918 999999.99 99999.99 99999.99     2.07     0.12     0.06 -1
2011 297 12 2432 51 52  57  35   7.2   7.1  24.0 303.2   3.5  -5.4   2.9  -3.3   5.2   0.3   1.5   1.3   0.4   0.8   58601.   9.8  324.  -2.5  -1.7 0.064    4728.   0.6    5.   0.3   0.5 0.007  2.16  -1.68   1.47   7.0  4.7 0.0240  3 130     5   2 143.8   47   -26    22  -0.3 0.007918 999999.99 99999.99 99999.99     2.16     0.14     0.07 -1
2011 297 13 2432 51 52  61  38   7.5   7.3  12.2 308.9   4.5  -5.6   1.5  -4.3   3.9   0.3   1.6   0.4   0.3   1.5   57239.   9.0  321.  -2.6  -2.3 0.060    4898.   0.5    3.   0.5   0.5 0.007  1.92  -1.25   1.24   6.4  4.5 0.0289  3 130     4   2 143.8   39   -18    21  -0.2 0.007918 999999.99 99999.99 99999.99     1.75     0.14     0.06 -1
2011 297 14 2432 51 52  61  36   7.6   7.5   7.9 300.8   3.8  -6.4   1.0  -5.3   3.7   0.2   1.0   0.7   0.5   0.5   49943.   7.4  326.  -1.2  -2.4 0.040    6961.   0.7    4.   0.8   0.4 0.010  1.52  -1.21   0.95   5.8  4.3 0.0349  3 130     1   2 143.8   23   -13    11   0.5 0.007918 999999.99 99999.99 99999.99     1.55     0.12     0.06 -1
2011 297 15 2432 51 52  60  36   7.4   7.2   8.5 298.6   3.4  -6.2   1.1  -5.3   3.4   0.3   1.5   0.6   0.6   1.3   55647.   7.8  331.  -0.8  -1.7 0.039   19842.   0.8    6.   0.9   0.9 0.007  1.65  -1.13   1.09   6.2  4.5 0.0305 10 130    -1   4 143.8   28   -16    12   0.9 0.007918 999999.99 99999.99 99999.99     1.35     0.12     0.06 -1
2011 297 16 2432 51 52  65  38   7.0   6.3  -0.4 305.5   3.7  -5.2   0.0  -4.9   1.8   0.5   3.0   1.7   0.9   2.3   56789.   8.1  332.   0.2  -1.8 0.047    8889.   0.6    8.   1.1   1.8 0.009  1.77  -0.60   1.27   6.7  4.7 0.0261 10 130    -1   4 143.8   35   -19    16   0.9 0.007918 999999.99 99999.99 99999.99     1.29     0.13     0.07 -1
